fund_code,fund_name,latest_net_value,latest_total_value,history_net_value,history_total_value,daily_growth_value,daily_growth_rate,latest_date,history_date,update_time
022110,摩根中证A50ETF发起式联接E,1.1578,1.1578,1.1532,1.1532,0.0046,0.40,2025-08-12,2025-08-12,2025-08-12 14:58:19
022111,华泰保兴恒利中短债D,1.0185,1.0185,1.0176,1.0176,0.0009,0.09,2025-04-06,2025-04-06,2025-04-06 17:24:22
022113,国泰丰鑫纯债债券C,1.0123,1.0373,1.0111,1.0361,0.0012,0.12,2025-04-06,2025-04-06,2025-04-06 17:24:22
022114,前海开源弘泽债券D,1.1670,1.1748,1.1655,1.1733,0.0015,0.13,2025-08-12,2025-08-12,2025-08-12 14:58:19
022115,鑫元致远量化选股混合A,1.1057,1.1057,1.1028,1.1028,0.0029,0.26,2025-08-12,2025-08-12,2025-08-12 14:58:19
022116,鑫元致远量化选股混合C,1.1031,1.1031,1.1003,1.1003,0.0028,0.25,2025-08-12,2025-08-12,2025-08-12 14:58:19
022117,中欧中短债债券发起D,1.0734,1.0794,1.0722,1.0782,0.0012,0.11,2025-04-06,2025-04-06,2025-04-06 17:24:22
022118,鹏华丰玉债券E,1.0154,1.0174,1.0135,1.0155,0.0019,0.19,2025-04-06,2025-04-06,2025-04-06 17:24:22
022119,平安产业趋势混合A,1.2397,1.2397,1.2168,1.2168,0.0229,1.88,2025-08-12,2025-08-12,2025-08-12 14:58:18
022120,平安产业趋势混合C,1.2346,1.2346,1.2118,1.2118,0.0228,1.88,2025-08-12,2025-08-12,2025-08-12 14:58:18
022121,国泰君安中证香港科技指数发起(QDII)A,1.1601,1.1601,1.1572,1.1572,0.0029,0.25,2025-08-12,2025-08-12,2025-08-12 14:58:19
022122,国泰君安中证香港科技指数发起(QDII)C,1.1588,1.1588,1.1559,1.1559,0.0029,0.25,2025-08-12,2025-08-12,2025-08-12 14:58:19
022123,天弘安恒60天滚动持有短债E,1.0829,1.0829,1.0823,1.0823,0.0006,0.06,2025-04-06,2025-04-06,2025-04-06 17:24:22
022124,国寿安保策略精选混合(LOF)C,1.3615,1.3615,1.3433,1.3433,0.0182,1.35,2025-08-12,2025-08-12,2025-08-12 14:58:18
022126,国泰利安中短债债券E,1.0648,1.0648,1.0646,1.0646,0.0002,0.02,2025-04-06,2025-04-06,2025-04-06 17:24:22
022127,华富可转债债券C,1.5460,1.5460,1.5268,1.5268,0.0192,1.26,2025-08-12,2025-08-12,2025-08-12 14:58:18
022128,华安纯债债券E,1.0844,1.0964,1.0825,1.0945,0.0019,0.18,2025-04-06,2025-04-06,2025-04-06 17:24:22
022129,华富安福债券C,1.0856,1.0856,1.0826,1.0826,0.0030,0.28,2025-08-12,2025-08-12,2025-08-12 14:58:19
022130,华富安福债券D,1.0888,1.0888,1.0857,1.0857,0.0031,0.29,2025-08-12,2025-08-12,2025-08-12 14:58:19
