fund_code,fund_name,latest_net_value,latest_total_value,history_net_value,history_total_value,daily_growth_value,daily_growth_rate,latest_date,history_date,update_time
000001,华夏成长混合,0.9350,3.4980,0.9270,3.4900,0.0080,0.86,2025-08-12,2025-08-12,2025-08-12 14:58:18
000003,中海可转债债券A,0.9900,1.2000,0.9810,1.1910,0.0090,0.92,2025-08-12,2025-08-12,2025-08-12 14:58:18
000004,中海可转债债券C,0.9680,1.1780,0.9590,1.1690,0.0090,0.94,2025-08-12,2025-08-12,2025-08-12 14:58:18
000005,嘉实增强信用定期债券,1.0266,1.5436,1.0242,1.5412,0.0024,0.23,2025-04-06,2025-04-06,2025-04-06 17:24:22
000006,西部利得量化成长混合A,2.3441,2.6721,2.3320,2.6600,0.0121,0.52,2025-08-12,2025-08-12,2025-08-12 14:58:19
000008,嘉实中证500ETF联接A,1.8761,1.9421,1.8571,1.9231,0.0190,1.02,2025-08-12,2025-08-12,2025-08-12 14:58:18
000011,华夏大盘精选混合A,16.2950,23.5510,16.1330,23.3890,0.1620,1.00,2025-08-12,2025-08-12,2025-08-12 14:58:18
000014,华夏聚利债券A,1.9761,1.9761,1.9635,1.9635,0.0126,0.64,2025-08-12,2025-08-12,2025-08-12 14:58:19
000015,华夏纯债债券A,1.1675,1.5581,1.1668,1.5574,0.0007,0.06,2025-04-06,2025-04-06,2025-04-06 17:24:22
000017,财通可持续混合,1.5620,3.3810,1.5280,3.3470,0.0340,2.23,2025-08-12,2025-08-12,2025-08-12 14:58:18
000020,景顺长城品质投资混合A,3.4830,3.6510,3.4510,3.6190,0.0320,0.93,2025-08-12,2025-08-12,2025-08-12 14:58:18
000021,华夏优势增长混合,2.6210,3.7910,2.5920,3.7620,0.0290,1.12,2025-08-12,2025-08-12,2025-08-12 14:58:18
000024,大摩双利增强债券A,1.1970,1.6878,1.1926,1.6834,0.0044,0.37,2025-04-06,2025-04-06,2025-04-06 00:36:37
000025,大摩双利增强债券C,1.1729,1.6401,1.1686,1.6358,0.0043,0.37,2025-04-06,2025-04-06,2025-04-06 00:36:37
000028,华富安鑫债券A,1.0807,1.6037,1.0743,1.5973,0.0064,0.60,2025-08-12,2025-08-12,2025-08-12 14:58:19
000029,富国宏观策略灵活配置混合A,2.8170,3.0120,2.7990,2.9940,0.0180,0.64,2025-08-12,2025-08-12,2025-08-12 14:58:19
000030,长城核心优选混合A,1.1428,2.1157,1.1326,2.0968,0.0102,0.90,2025-08-12,2025-08-12,2025-08-12 14:58:18
000031,华夏复兴混合A,2.1980,2.1980,2.1850,2.1850,0.0130,0.59,2025-08-12,2025-08-12,2025-08-12 14:58:19
000032,易方达信用债债券A,1.1374,1.6154,1.1346,1.6126,0.0028,0.25,2025-04-06,2025-04-06,2025-04-06 17:24:22
000033,易方达信用债债券C,1.1331,1.5581,1.1304,1.5554,0.0027,0.24,2025-04-06,2025-04-06,2025-04-06 17:24:22
000037,广发景宁债券A,1.1730,1.2154,1.1709,1.2133,0.0021,0.18,2025-04-06,2025-04-06,2025-04-06 17:24:22
000039,农银高增长混合,4.0540,4.0540,4.0052,4.0052,0.0488,1.22,2025-08-12,2025-08-12,2025-08-12 14:58:18
000041,华夏全球股票(QDII)(人民币),1.2723,1.2723,1.2685,1.2685,0.0038,0.30,2025-08-12,2025-08-12,2025-08-12 14:58:19
000042,财通中证ESG100指数增强A,2.0232,2.5120,2.0183,2.5071,0.0049,0.24,2025-08-12,2025-08-12,2025-08-12 14:58:19
000043,嘉实美国成长股票人民币,5.3800,5.3800,5.3210,5.3210,0.0590,1.11,2025-08-12,2025-08-12,2025-08-12 14:58:18
000044,嘉实美国成长股票美元现汇,4.5990,4.5990,4.5520,4.5520,0.0470,1.03,2025-08-12,2025-08-12,2025-08-12 14:58:18
000045,工银产业债债券A,1.4820,1.8870,1.4830,1.8880,-0.0010,-0.07,2025-04-06,2025-04-06,2025-04-06 17:24:22
000046,工银产业债债券B,1.4300,1.8090,1.4320,1.8110,-0.0020,-0.14,2025-04-06,2025-04-06,2025-04-06 17:24:22
000047,华夏双债债券A,1.9947,2.2968,1.9808,2.2829,0.0139,0.70,2025-08-12,2025-08-12,2025-08-12 14:58:18
000048,华夏双债债券C,1.9373,2.2290,1.9239,2.2156,0.0134,0.70,2025-08-12,2025-08-12,2025-08-12 14:58:18
000051,华夏沪深300ETF联接A,1.5470,1.5470,1.5408,1.5408,0.0062,0.40,2025-08-12,2025-08-12,2025-08-12 14:58:19
000053,鹏华永诚一年定开债券,1.0482,1.8513,1.0462,1.8484,0.0020,0.19,2025-04-06,2025-04-06,2025-04-06 17:24:22
000054,鹏华双债增利债券A,1.3179,1.6882,1.3166,1.6869,0.0013,0.10,2025-04-06,2025-04-06,2025-04-06 17:24:22
000055,广发纳斯达克100ETF联接美元(QDII)A,0.9783,1.0182,0.9691,1.0090,0.0092,0.95,2025-08-12,2025-08-12,2025-08-12 14:58:18
000056,建信消费升级混合,2.3470,2.3470,2.3170,2.3170,0.0300,1.29,2025-10-02,2025-10-02,2025-10-02 11:18:04
000058,国联安安泰灵活配置混合A,1.5555,1.9664,1.5533,1.9639,0.0022,0.14,2025-08-12,2025-08-12,2025-08-12 14:58:19
000059,国联安中证医药100A,1.0915,1.6515,1.0798,1.6398,0.0117,1.08,2025-08-12,2025-08-12,2025-08-12 14:58:18
000061,华夏盛世混合,1.3910,1.3910,1.3770,1.3770,0.0140,1.02,2025-08-12,2025-08-12,2025-08-12 14:58:18
000063,长盛电子信息主题灵活配置混合,1.5320,1.5320,1.5090,1.5090,0.0230,1.52,2025-08-12,2025-08-12,2025-08-12 14:58:18
000065,国富焦点驱动混合A,2.0821,2.3518,2.0820,2.3517,0.0001,0.00,2025-04-06,2025-04-06,2025-04-06 17:24:22
000066,诺安鸿鑫混合A,1.7001,2.3994,1.6698,2.3567,0.0303,1.81,2025-08-12,2025-08-12,2025-08-12 14:58:18
000067,民生加银转债优选A,0.8161,1.2161,0.8130,1.2130,0.0031,0.38,2025-08-12,2025-08-12,2025-08-12 14:58:19
000068,民生加银转债优选C,0.7844,1.1744,0.7814,1.1714,0.0030,0.38,2025-08-12,2025-08-12,2025-08-12 14:58:19
000069,国投瑞银中高等级债券A,1.1511,1.6695,1.1504,1.6688,0.0007,0.06,2025-04-06,2025-04-06,2025-04-06 17:24:22
000070,国投瑞银中高等级债券C,1.1489,1.6271,1.1482,1.6264,0.0007,0.06,2025-04-06,2025-04-06,2025-04-06 17:24:22
000071,华夏恒生ETF联接A,1.5246,1.5246,1.5215,1.5215,0.0031,0.20,2025-08-12,2025-08-12,2025-08-12 14:58:19
000072,华安稳健回报混合A,1.3306,2.3382,1.3301,2.3373,0.0005,0.04,2025-04-06,2025-04-06,2025-04-06 17:24:22
000073,摩根成长动力混合A,1.9685,1.9685,1.9566,1.9566,0.0119,0.61,2025-08-12,2025-08-12,2025-08-12 14:58:19
000074,工银信用纯债一年定开债A,1.8210,1.8210,1.8180,1.8180,0.0030,0.17,2025-04-06,2025-04-06,2025-04-06 17:24:22
000075,华夏恒生ETF联接现汇,0.2135,0.2135,0.2131,0.2131,0.0004,0.19,2025-08-12,2025-08-12,2025-08-12 14:58:19
000076,华夏恒生ETF联接现钞,0.2135,0.2135,0.2131,0.2131,0.0004,0.19,2025-08-12,2025-08-12,2025-08-12 14:58:19
000077,工银信用纯债一年定开债C,1.7360,1.7360,1.7340,1.7340,0.0020,0.12,2025-04-06,2025-04-06,2025-04-06 17:24:22
000078,工银信用纯债三个月定开债A,1.6394,1.6394,1.6367,1.6367,0.0027,0.16,2025-04-06,2025-04-06,2025-04-06 17:24:22
000079,工银信用纯债三个月定开债C,1.5660,1.5660,1.5634,1.5634,0.0026,0.17,2025-04-06,2025-04-06,2025-04-06 17:24:22
000080,天治可转债增强债券A,1.5186,1.5186,1.5130,1.5130,0.0056,0.37,2025-04-06,2025-04-06,2025-04-06 00:36:37
000081,天治可转债增强债券C,1.4512,1.4512,1.4459,1.4459,0.0053,0.37,2025-04-06,2025-04-06,2025-04-06 00:36:37
000082,嘉实研究阿尔法股票A,1.8690,2.7040,1.8590,2.6940,0.0100,0.54,2025-08-12,2025-08-12,2025-08-12 14:58:19
000083,汇添富消费行业混合,4.9300,4.9300,4.9200,4.9200,0.0100,0.20,2025-08-12,2025-08-12,2025-08-12 14:58:19
000084,博时安盈债券A,1.2561,1.4695,1.2552,1.4686,0.0009,0.07,2025-04-06,2025-04-06,2025-04-06 17:24:22
000085,博时安盈债券C,1.2272,1.4129,1.2263,1.4120,0.0009,0.07,2025-04-06,2025-04-06,2025-04-06 17:24:22
000086,南方稳利1年持有期债券A,1.1631,1.5560,1.1603,1.5532,0.0028,0.24,2025-04-06,2025-04-06,2025-04-06 17:24:22
000089,民生加银高等级信用债C,1.1014,1.1014,1.1007,1.1007,0.0007,0.06,2025-04-06,2025-04-06,2025-04-06 17:24:22
000090,民生加银高等级信用债A,1.1141,1.1141,1.1134,1.1134,0.0007,0.06,2025-04-06,2025-04-06,2025-04-06 17:24:22
000103,国泰中国企业境外高收益债,0.7644,0.7644,0.7643,0.7643,0.0001,0.01,2025-04-06,2025-04-06,2025-04-06 17:24:22
000104,华宸未来稳健添利债券A,1.2776,1.5436,1.2753,1.5413,0.0023,0.18,2025-04-06,2025-04-06,2025-04-06 17:24:22
000105,建信安心回报债券A,1.0990,1.5390,1.0990,1.5390,0.0000,0.00,2025-04-06,2025-04-06,2025-04-06 17:24:22
000106,建信安心回报债券C,1.0730,1.4830,1.0730,1.4830,0.0000,0.00,2025-04-06,2025-04-06,2025-04-06 17:24:22
000109,富国稳健增强债券C,1.2490,1.6540,1.2520,1.6570,-0.0030,-0.24,2025-04-06,2025-04-06,2025-04-06 17:54:45
000110,金鹰元安混合A,1.4425,1.9913,1.4403,1.9885,0.0022,0.15,2025-08-12,2025-08-12,2025-08-12 14:58:19
000111,易方达纯债1年定开债A,1.0310,1.5690,1.0300,1.5680,0.0010,0.10,2025-04-06,2025-04-06,2025-04-06 17:24:22
000112,易方达纯债1年定开债C,1.0300,1.5230,1.0290,1.5220,0.0010,0.10,2025-04-06,2025-04-06,2025-04-06 17:24:22
000116,嘉实丰益纯债定期债券A,1.0194,1.5490,1.0160,1.5456,0.0034,0.33,2025-04-06,2025-04-06,2025-04-06 00:36:37
000117,广发轮动配置混合,2.2400,2.2400,2.2000,2.2000,0.0400,1.82,2025-08-12,2025-08-12,2025-08-12 14:58:18
000118,广发聚鑫债券A,1.5573,2.3465,1.5579,2.3471,-0.0006,-0.04,2025-04-06,2025-04-06,2025-04-06 17:24:22
000119,广发聚鑫债券C,1.5471,2.2908,1.5477,2.2914,-0.0006,-0.04,2025-04-06,2025-04-06,2025-04-06 17:24:22
000120,中银美丽中国混合,2.2050,2.2400,2.1910,2.2260,0.0140,0.64,2025-08-12,2025-08-12,2025-08-12 14:58:19
000121,华夏永福混合A,2.5070,2.5070,2.5030,2.5030,0.0040,0.16,2025-08-12,2025-08-12,2025-08-12 14:58:19
000122,汇添富实业债债券A,1.5363,1.8103,1.5338,1.8078,0.0025,0.16,2025-08-12,2025-08-12,2025-08-12 14:58:19
000123,汇添富实业债债券C,1.4550,1.7290,1.4527,1.7267,0.0023,0.16,2025-08-12,2025-08-12,2025-08-12 14:58:19
000124,华宝服务优选混合,3.6100,3.9100,3.5880,3.8880,0.0220,0.61,2025-08-12,2025-08-12,2025-08-12 14:58:19
000126,招商安润灵活配置混合A,2.0002,2.3442,1.9637,2.3077,0.0365,1.86,2025-08-12,2025-08-12,2025-08-12 14:58:18
000127,农银行业领先混合,2.5727,2.9672,2.5641,2.9586,0.0086,0.34,2025-08-12,2025-08-12,2025-08-12 14:58:19
000128,大成景安短融债券A,1.3070,1.5110,1.3059,1.5099,0.0011,0.08,2025-04-06,2025-04-06,2025-04-06 17:24:22
000129,大成景安短融债券B,1.3517,1.5617,1.3505,1.5605,0.0012,0.09,2025-04-06,2025-04-06,2025-04-06 17:24:22
000130,大成景兴信用债债券A,1.6302,1.9302,1.6271,1.9271,0.0031,0.19,2025-04-06,2025-04-06,2025-04-06 17:24:22
000131,大成景兴信用债债券C,1.5552,1.8552,1.5523,1.8523,0.0029,0.19,2025-04-06,2025-04-06,2025-04-06 17:24:22
000134,中信保诚嘉鸿债券A,1.0140,1.1585,1.0126,1.1571,0.0014,0.14,2025-04-06,2025-04-06,2025-04-06 17:24:22
000135,中信保诚嘉鸿债券C,1.0000,1.0000,1.0000,1.0000,0.0000,0.00,2025-04-06,2025-04-06,2025-04-06 17:24:22
000137,民生加银岁岁增利债券A,1.1411,1.6862,1.1367,1.6818,0.0044,0.39,2025-04-06,2025-04-06,2025-04-06 00:36:37
000138,民生加银岁岁增利债券C,1.1081,1.6282,1.1040,1.6241,0.0041,0.37,2025-04-06,2025-04-06,2025-04-06 00:36:37
000139,富国国有企业债债券A/B,1.0070,1.4765,1.0064,1.4759,0.0006,0.06,2025-04-06,2025-04-06,2025-04-06 17:24:22
000141,富国国有企业债债券C,1.0058,1.4423,1.0051,1.4416,0.0007,0.07,2025-04-06,2025-04-06,2025-04-06 17:24:22
000142,融通增强收益债券A,1.1421,1.7034,1.1405,1.7014,0.0016,0.14,2025-04-06,2025-04-06,2025-04-06 17:24:22
000143,鹏华双债加利债券A,1.9454,2.1374,1.9410,2.1330,0.0044,0.23,2025-08-12,2025-08-12,2025-08-12 14:58:19
000147,易方达高等级信用债债券A,1.2133,1.5353,1.2118,1.5338,0.0015,0.12,2025-04-06,2025-04-06,2025-04-06 17:24:22
000148,易方达高等级信用债债券C,1.1936,1.5016,1.1922,1.5002,0.0014,0.12,2025-04-06,2025-04-06,2025-04-06 17:24:22
000149,华安双债添利债券A,1.3532,1.7382,1.3514,1.7364,0.0018,0.13,2025-04-06,2025-04-06,2025-04-06 17:24:22
000150,华安双债添利债券C,1.3016,1.6846,1.2999,1.6829,0.0017,0.13,2025-04-06,2025-04-06,2025-04-06 17:24:22
000152,大成景旭纯债债券A,1.0950,1.5993,1.0912,1.5955,0.0038,0.35,2025-04-06,2025-04-06,2025-04-06 00:36:37
000153,大成景旭纯债债券C,1.0897,1.5487,1.0859,1.5449,0.0038,0.35,2025-04-06,2025-04-06,2025-04-06 00:36:37
000165,国投瑞银策略精选混合,1.8886,3.7026,1.8670,3.6810,0.0216,1.16,2025-08-12,2025-08-12,2025-08-12 14:58:18
000166,中海信息产业混合A,1.1339,1.6544,1.1178,1.6320,0.0161,1.44,2025-08-12,2025-08-12,2025-08-12 14:58:18
000167,广发聚优灵活配置混合A,2.0900,2.3000,2.0800,2.2900,0.0100,0.48,2025-08-12,2025-08-12,2025-08-12 14:58:19
000171,易方达裕丰回报债券A,1.8260,2.2930,1.8220,2.2890,0.0040,0.22,2025-04-06,2025-04-06,2025-04-06 17:24:22
000172,华泰柏瑞量化增强混合A,1.4960,2.7580,1.4900,2.7520,0.0060,0.40,2025-08-12,2025-08-12,2025-08-12 14:58:19
000173,汇添富美丽30混合A,3.4410,3.6930,3.3970,3.6490,0.0440,1.30,2025-10-02,2025-10-02,2025-10-02 11:18:04
000174,汇添富高息债债券A,1.7813,1.8163,1.7792,1.8142,0.0021,0.12,2025-08-12,2025-08-12,2025-08-12 14:58:19
000175,汇添富高息债债券C,1.6456,1.6806,1.6437,1.6787,0.0019,0.12,2025-08-12,2025-08-12,2025-08-12 14:58:19
000176,嘉实沪深300指数研究增强A,1.5851,1.5851,1.5826,1.5826,0.0025,0.16,2025-08-12,2025-08-12,2025-08-12 14:58:19
000179,广发美国房地产指数人民币(QDII)A,1.2170,1.8220,1.2110,1.8160,0.0060,0.50,2025-04-06,2025-04-06,2025-04-06 00:36:37
000180,广发美国房地产指数美元现汇(QDII)A,0.1695,0.2604,0.1687,0.2596,0.0008,0.47,2025-04-06,2025-04-06,2025-04-06 00:36:37
000181,景顺长城四季金利债券A,1.2370,1.6120,1.2350,1.6100,0.0020,0.16,2025-04-06,2025-04-06,2025-04-06 17:24:22
000182,景顺长城四季金利债券C,1.2170,1.5530,1.2150,1.5510,0.0020,0.16,2025-04-06,2025-04-06,2025-04-06 17:24:22
000183,嘉实丰益策略定期债券,1.0050,1.5591,1.0039,1.5580,0.0011,0.11,2025-04-06,2025-04-06,2025-04-06 17:24:22
000184,工银添福债券A,2.0140,2.1600,2.0100,2.1560,0.0040,0.20,2025-08-12,2025-08-12,2025-08-12 14:58:19
000185,工银添福债券B,1.9640,2.1090,1.9600,2.1050,0.0040,0.20,2025-08-12,2025-08-12,2025-08-12 14:58:19
000186,华泰柏瑞季季红债券A,1.0797,1.5803,1.0777,1.5783,0.0020,0.19,2025-04-06,2025-04-06,2025-04-06 17:24:22
000187,华泰柏瑞丰盛纯债债券A,1.1560,1.6196,1.1515,1.6151,0.0045,0.39,2025-04-06,2025-04-06,2025-04-06 00:36:37
000188,华泰柏瑞丰盛纯债债券C,1.1445,1.5662,1.1400,1.5617,0.0045,0.39,2025-04-06,2025-04-06,2025-04-06 00:36:37
000189,易方达丰华债券A,1.3555,1.5711,1.3536,1.5691,0.0019,0.14,2025-08-12,2025-08-12,2025-08-12 14:58:19
000190,中银新回报灵活配置混合A,1.7440,2.0640,1.7410,2.0610,0.0030,0.17,2025-04-06,2025-04-06,2025-04-06 17:24:22
000191,富国信用债债券A/B,1.3162,1.6067,1.3141,1.6046,0.0021,0.16,2025-04-06,2025-04-06,2025-04-06 17:24:22
000192,富国信用债债券C,1.2841,1.5496,1.2820,1.5475,0.0021,0.16,2025-04-06,2025-04-06,2025-04-06 17:24:22
000194,银华信用四季红债券A,1.0867,1.6287,1.0851,1.6271,0.0016,0.15,2025-04-06,2025-04-06,2025-04-06 17:24:22
000195,工银成长收益混合A,1.6160,2.1980,1.6110,2.1920,0.0050,0.31,2025-08-12,2025-08-12,2025-08-12 14:58:19
000196,工银成长收益混合B,1.5270,2.0370,1.5220,2.0310,0.0050,0.33,2025-08-12,2025-08-12,2025-08-12 14:58:19
000197,富国目标收益一年期纯债债券,1.1092,1.5672,1.1073,1.5653,0.0019,0.17,2025-04-06,2025-04-06,2025-04-06 17:24:22
000199,国泰量化策略收益混合A,1.5675,2.1100,1.5553,2.0956,0.0122,0.78,2025-08-12,2025-08-12,2025-08-12 14:58:18
000200,博时岁岁增利一年持有期债券A,1.2445,1.7594,1.2423,1.7566,0.0022,0.18,2025-04-06,2025-04-06,2025-04-06 17:24:22
000205,易方达投资级信用债债券A,1.1619,1.6219,1.1610,1.6210,0.0009,0.08,2025-04-06,2025-04-06,2025-04-06 17:24:22
000206,易方达投资级信用债债券C,1.1610,1.5900,1.1601,1.5891,0.0009,0.08,2025-04-06,2025-04-06,2025-04-06 17:24:22
000207,建信双债增强债券A,1.2070,1.4690,1.2100,1.4720,-0.0030,-0.25,2025-04-06,2025-04-06,2025-04-06 17:54:45
000208,建信双债增强债券C,1.2000,1.4110,1.2030,1.4140,-0.0030,-0.25,2025-04-06,2025-04-06,2025-04-06 17:54:45
000209,中信保诚新兴产业混合A,2.3437,2.3437,2.3076,2.3076,0.0361,1.56,2025-08-12,2025-08-12,2025-08-12 14:58:18
000214,广发成长优选混合,1.4590,2.0890,1.4540,2.0840,0.0050,0.34,2025-08-12,2025-08-12,2025-08-12 14:58:19
000215,广发趋势优选灵活配置混合A,1.6684,2.0674,1.6720,2.0710,-0.0036,-0.22,2025-04-06,2025-04-06,2025-04-06 17:54:45
000216,华安黄金易ETF联接A,2.5769,2.5769,2.5563,2.5563,0.0206,0.81,2025-04-06,2025-04-06,2025-04-06 00:36:37
000217,华安黄金易ETF联接C,2.5177,2.5177,2.4975,2.4975,0.0202,0.81,2025-04-06,2025-04-06,2025-04-06 00:36:37
000218,国泰黄金ETF联接A,2.6813,2.6813,2.6592,2.6592,0.0221,0.83,2025-04-06,2025-04-06,2025-04-06 00:36:37
000219,博时裕益混合,2.5870,2.8390,2.5830,2.8350,0.0040,0.15,2025-08-12,2025-08-12,2025-08-12 14:58:19
000220,富国医疗保健行业混合A,3.9690,3.9690,3.9380,3.9380,0.0310,0.79,2025-08-12,2025-08-12,2025-08-12 14:58:18
000221,汇添富年年利定期开放债券A,1.3276,1.5256,1.3226,1.5206,0.0050,0.38,2025-04-06,2025-04-06,2025-04-06 00:36:37
000222,汇添富年年利定期开放债券C,1.2683,1.4583,1.2635,1.4535,0.0048,0.38,2025-04-06,2025-04-06,2025-04-06 00:36:37
000241,宝盈核心优势混合C,0.7780,2.3450,0.7710,2.3380,0.0070,0.91,2025-08-12,2025-08-12,2025-08-12 14:58:18
000242,景顺长城策略精选灵活配置混合A,3.0500,3.6000,3.0240,3.5740,0.0260,0.86,2025-08-12,2025-08-12,2025-08-12 14:58:18
000248,汇添富中证主要消费ETF联接A,2.2330,2.2330,2.2132,2.2132,0.0198,0.89,2025-08-12,2025-08-12,2025-08-12 14:58:18
000251,工银金融地产混合A,2.6630,3.7070,2.6620,3.7060,0.0010,0.04,2025-04-06,2025-04-06,2025-04-06 17:24:22
000252,景顺长城景兴信用纯债债券A,1.1887,1.5466,1.1851,1.5430,0.0036,0.30,2025-04-06,2025-04-06,2025-04-06 00:36:37
000253,景顺长城景兴信用纯债债券C,1.1789,1.4886,1.1754,1.4851,0.0035,0.30,2025-04-06,2025-04-06,2025-04-06 00:36:37
000254,长城增强收益定开债券A,1.1312,1.6725,1.1293,1.6706,0.0019,0.17,2025-04-06,2025-04-06,2025-04-06 17:24:22
000255,长城增强收益定开债券C,1.1280,1.6206,1.1262,1.6188,0.0018,0.16,2025-04-06,2025-04-06,2025-04-06 17:24:22
000259,农银区间收益混合,4.6143,4.6143,4.5831,4.5831,0.0312,0.68,2025-08-12,2025-08-12,2025-08-12 14:58:18
000263,工银信息产业混合A,3.2000,3.4770,3.1740,3.4510,0.0260,0.82,2025-08-12,2025-08-12,2025-08-12 14:58:18
000264,博时内需增长混合A,0.8740,0.7640,0.8730,0.7630,0.0010,0.11,2025-04-06,2025-04-06,2025-04-06 17:24:22
000265,易方达恒久添利1年定开债A,1.0338,1.4928,1.0324,1.4914,0.0014,0.14,2025-04-06,2025-04-06,2025-04-06 17:24:22
000266,易方达恒久添利1年定开债C,1.0298,1.4458,1.0284,1.4444,0.0014,0.14,2025-04-06,2025-04-06,2025-04-06 17:24:22
000270,建信灵活配置混合A,1.6651,2.5433,1.6471,2.5159,0.0180,1.09,2025-08-12,2025-08-12,2025-08-12 14:58:18
000273,华润元大安鑫灵活配置混合A,1.8275,2.5495,1.8201,2.5421,0.0074,0.41,2025-08-12,2025-08-12,2025-08-12 14:58:19
000274,广发亚太中高收益债(QDII)A,1.1984,1.2684,1.1984,1.2684,0.0000,0.00,2025-04-06,2025-04-06,2025-04-06 17:24:22
000275,广发亚太中高收益债美元现汇(QDII)A,0.1669,0.1776,0.1670,0.1777,-0.0001,-0.06,2025-04-06,2025-04-06,2025-04-06 17:24:22
000279,华商红利优选混合,0.7000,2.2570,0.7010,2.2580,-0.0010,-0.14,2025-04-06,2025-04-06,2025-04-06 17:24:22
000286,银华信用季季红债券A,1.0602,1.5572,1.0585,1.5555,0.0017,0.16,2025-04-06,2025-04-06,2025-04-06 17:24:22
000289,鹏华丰泰定开债A,1.0920,1.5782,1.0899,1.5761,0.0021,0.19,2025-04-06,2025-04-06,2025-04-06 17:24:22
000290,鹏华全球高收益债(QDII),0.6195,0.9540,0.6196,0.9541,-0.0001,-0.02,2025-04-06,2025-04-06,2025-04-06 17:24:22
000294,华安生态优先混合A,2.6200,3.1080,2.6100,3.0980,0.0100,0.38,2025-08-12,2025-08-12,2025-08-12 14:58:19
000295,鹏华丰实定期开放债券A,1.0992,1.5612,1.0961,1.5581,0.0031,0.28,2025-04-06,2025-04-06,2025-04-06 17:24:22
000296,鹏华丰实定期开放债券B,1.1156,1.5118,1.1124,1.5086,0.0032,0.29,2025-04-06,2025-04-06,2025-04-06 00:36:37
000297,鹏华可转债债券A,1.6259,1.6829,1.6083,1.6653,0.0176,1.09,2025-08-12,2025-08-12,2025-08-12 14:58:18
000298,中海纯债债券A,1.1550,1.3820,1.1530,1.3800,0.0020,0.17,2025-04-06,2025-04-06,2025-04-06 17:24:22
000299,中海纯债债券C,1.1350,1.3530,1.1330,1.3510,0.0020,0.18,2025-04-06,2025-04-06,2025-04-06 17:24:22
000305,中银中高等级债券A,1.1148,1.6040,1.1118,1.6010,0.0030,0.27,2025-04-06,2025-04-06,2025-04-06 17:24:22
000306,天弘弘利债券A,1.1231,1.5855,1.1198,1.5822,0.0033,0.29,2025-04-06,2025-04-06,2025-04-06 17:24:22
000307,易方达黄金ETF联接A,2.4476,2.4476,2.4275,2.4275,0.0201,0.83,2025-04-06,2025-04-06,2025-04-06 00:36:37
000308,建信创新中国混合,5.2730,5.2730,5.2180,5.2180,0.0550,1.05,2025-08-12,2025-08-12,2025-08-12 14:58:18
000309,大摩品质生活精选股票A,3.5270,3.5270,3.5000,3.5000,0.0270,0.77,2025-08-12,2025-08-12,2025-08-12 14:58:18
000310,安信永利信用债券A,1.5002,1.8502,1.5000,1.8500,0.0002,0.01,2025-04-06,2025-04-06,2025-04-06 17:24:22
000311,景顺长城沪深300指数增强A,2.3610,2.7010,2.3530,2.6930,0.0080,0.34,2025-08-12,2025-08-12,2025-08-12 14:58:19
000312,华安沪深300增强A,2.2310,2.5910,2.2183,2.5783,0.0127,0.57,2025-08-12,2025-08-12,2025-08-12 14:58:19
000313,华安沪深300增强C,2.0969,2.4569,2.0850,2.4450,0.0119,0.57,2025-08-12,2025-08-12,2025-08-12 14:58:19
000319,宏利淘利债券A,1.0475,1.5944,1.0453,1.5922,0.0022,0.21,2025-04-06,2025-04-06,2025-04-06 17:24:22
000320,宏利淘利债券C,1.0593,1.5600,1.0571,1.5578,0.0022,0.21,2025-04-06,2025-04-06,2025-04-06 17:24:22
000322,农银汇理金汇债券A,1.1350,1.1350,1.1342,1.1342,0.0008,0.07,2025-04-06,2025-04-06,2025-04-06 17:24:22
000326,南方中小盘成长股票A,1.1000,1.9310,1.0952,1.9262,0.0048,0.44,2025-08-12,2025-08-12,2025-08-12 14:58:19
000327,南方潜力新蓝筹混合A,1.9898,2.2199,1.9508,2.1809,0.0390,2.00,2025-08-12,2025-08-12,2025-08-12 14:58:18
000328,摩根转型动力混合A,1.8150,1.8150,1.7950,1.7950,0.0200,1.11,2025-08-12,2025-08-12,2025-08-12 14:58:18
000329,鹏华丰饶定开债,1.0931,1.2571,1.0920,1.2560,0.0011,0.10,2025-04-06,2025-04-06,2025-04-06 17:24:22
000333,长城稳固收益债券A,1.3621,1.3821,1.3613,1.3813,0.0008,0.06,2025-04-06,2025-04-06,2025-04-06 17:24:22
000334,长城稳固收益债券C,1.3095,1.3295,1.3088,1.3288,0.0007,0.05,2025-04-06,2025-04-06,2025-04-06 17:24:22
000335,安信永利信用债券C,1.4632,1.7882,1.4630,1.7880,0.0002,0.01,2025-04-06,2025-04-06,2025-04-06 17:24:22
000336,农银研究精选混合,3.3009,3.3009,3.2757,3.2757,0.0252,0.77,2025-08-12,2025-08-12,2025-08-12 14:58:18
000338,鹏华双债保利债券B,1.2929,1.6619,1.2912,1.6602,0.0017,0.13,2025-08-12,2025-08-12,2025-08-12 14:58:19
000339,长城医疗保健混合A,3.5961,3.5961,3.5613,3.5613,0.0348,0.98,2025-08-12,2025-08-12,2025-08-12 14:58:18
000341,嘉实新兴市场C2(QDII),1.0600,1.1150,1.0600,1.1150,0.0000,0.00,2025-04-06,2025-04-06,2025-04-06 17:24:22
000342,嘉实新兴市场A1(QDII),1.2500,1.5180,1.2500,1.5180,0.0000,0.00,2025-04-06,2025-04-06,2025-04-06 17:24:22
000346,建信安心回报6个月定开A,1.0304,1.5789,1.0291,1.5776,0.0013,0.13,2025-04-06,2025-04-06,2025-04-06 17:24:22
